COMPONENTS,QUANTITY,,,
ATmega2560 Development Board,1,,,
LPC2148 Development Board,1,,,
P89V51RD2 Development Board,1,,,
Raspberry-Pi 3,6,,,
Micro SD card (16 GB),6,,,
USB Adapter 2A,6,,,
NRF24L01,4,,,
Zigbee Modules 100m range,6,,,
Zigbee Modules Adapter,6,,,
TCS 3200 based color sensor module,4,,,
GY87,4,,,
Servo motor based Gripper Kit,1,,,
HD USB WebCam,2,,,
Kinect Sensor,1,,,
Metal-gear Servo Motors,10,,,
ESP8266 Development Board,4,,,
ESP32 Development Board,6,,,
2-Channel Relay Board (12 volt),2,,,
2-Channel Relay Board (5 volt),2,,,
STM32 Nucleo boards,2,,,
Tiva Launchpad,2,,,
Motor Driver Module(Rating: 8amp and 6V-36V),6,,,
"Quad Encoder Geared DC Motor 200 RPM, 12 V DC",8,,,
Micro Servo motor,5,,,
"Altera Cyclone IV FPGA , DE0-Nano",2,,,
Cable HDMI,1,,,
LED 5mm GREEN,5,,,
LED 5 mm RED,5,,,
LED 5 mm YELLOW,5,,,
Resister ¼ w 220 E,10,,,
BUZZER Mini,1,,,
Micro  no 2 4 pin,5,,,
Robo  Chasis bio im 4 wheel,1,,,
Battery AA,4,,,
Ultrasonic Sensor,1,,,
Sen . Module  PIR ,1,,,
LDR  5mm,5,,,
CAP. 10 Uf 63 v,5,,,
Swi. Micro no 2 12 mm,5,,,
Soldering Stand,1,,,
Soldering Iron ,1,,,
15 grams Flux,1,,,
Electric Line Tester,1,,,
25 W Soldering Iron Tip,1,,,
Desolder Pump- Plastic,1,,,
Multitec MT-150B Stripper,1,,,
Burn Proof Spong,1,,,
Multimeter,1,,,
Straight Tweezer,1,,,
10 grams Soldering Lead,1,,,
Desoldering Wik,1,,,
"ESP 12 E, ESP8266",15,,,
Bread Board (170 pts),15,,,
Bread Board (400 pts),3,,,
Bread Board power supply,15,,,
1 channel relay (5v),15,,,
USB to MICRO USB Cable,15,,,
 LED Traffice Light Signal Module,30,,,
PCB 105,4,,,
Hi flow lead 50 grams,1,,,
Wire cutter,1,,,
Brush Medium,1,,,
P.kit Rapberry pi GPIO Board,1,,,
FIFINE – K050,1,,,
Card Reader,2,,,
HDMI M to VGA F Converter,1,,,
11c/ 12c Serial inter face adapter module,1,,,
DS3231 RtC Module,1,,,
10*10 cm universal proto type board single sided 2.54 mm hole pitch,2,,,
Lay3711z5 ,1,,,
Raspberry pi 4,1,,,
Servo motor,20,,,
L298N Motor Driver,15,,,
Mini bread board,10,,,
ESP 8266,10,,,
USB Cable,10,,,
BO Motor,20,,,
Arduino Nano 33 BLE,1,,,
EMG Muscle Sensor KIT,1,,,
PETG Fillament,1,,,
Myoware,1,,,
Micro HDMI to HDMI,1,,,
Arduino ABX00034 NANO 3,2,,,
ECG Electrodes Adhesive Pads,1,,,
TowerPro SG90 Servo Motor,20,,,
L298N 2A Based Motor Driver Module,15,,,
170 pts Mini Breadboar,10,,,
NodeMcu ESP8266,10,,,
 USB to Micro USB Cable,10,,,
16-Channel 12-bit PWM/Servo Driver I2C interface PCA9685 for Arduino Raspberry Pi,5,,,
BO Motor-,20,,,
REE S52 12V TO 5V 5A CONVERTER,1,,,
ARDINUO,2,,,
IR SENSOR,4,,,
XT60 CONNECTOR M TO F,1,,,
GAS SENSOR,1,,,
TEMPERATURE SENSOR,2,,,
GPS MODULE NEO ANTENNA RECEIVER,1,,,
SOIL MOISTURE SENSOR,2,,,
ULTRA SONIC SENSOR  ,2,,,